frame,joint,mpjpe_mm
32,0,12259.42064241021
32,1,12284.988695494614
32,2,12587.177838859674
32,3,12574.199838166176
32,4,10275.289594924732
32,5,2599.7871329559316
32,6,2561.491979487718
32,7,7841.735242339058
32,8,2491.4501324856906
32,9,7542.013329794595
32,10,2303.3198156675785
32,11,2825.3806931075897
32,12,2450.1912873993115
32,13,2673.4658949716263
32,14,2810.3949687627473
32,15,3072.8123475327043
32,16,2981.9505789307923
19,0,6484.367374467942
19,1,6565.317709338973
19,2,11794.350219545919
19,3,6982.343315568675
19,4,9479.279025206917
19,5,1434.0610154838191
19,6,1146.6711168744566
19,7,6652.1882599369965
19,8,1029.257436090188
19,9,6324.750856262044
19,10,1529.9731204599461
19,11,1991.0148434924909
19,12,1861.7350857580986
19,13,2001.730682939933
19,14,1885.2949075878776
19,15,2312.6066639778182
19,16,2029.4165419581052
23,0,665.3147938734303
23,1,6740.041726887358
23,2,8070.715582474122
23,3,1622.0562031624254
23,4,8197.074288680511
23,5,490.2753393063699
23,6,1024.3382394439584
23,7,1188.4464501420398
23,8,1273.0968972290618
23,9,273.05361481803806
23,10,451.9640894187478
23,11,673.2271243452218
23,12,501.00640873838967
23,13,690.0431165856257
23,14,714.7163523083028
23,15,1332.9479611707063
23,16,1191.1515955230955
30,0,7654.361519025492
30,1,7760.498557084492
30,2,8001.128821024739
30,3,7711.850907149165
30,4,8265.782283973953
30,5,503.3286659960711
30,6,1056.6231657630244
30,7,1102.1874844242884
30,8,1314.370476407445
30,9,331.2321089892153
30,10,417.26779127344673
30,11,649.6493397366714
30,12,465.08656620946846
30,13,580.6751692404681
30,14,500.24230093160054
30,15,1281.6867823816012
30,16,1105.878598400974
25,0,11748.27675013223
25,1,11838.799801650397
25,2,12039.738470172293
25,3,7267.961225372036
25,4,9675.098184011471
25,5,1805.353919823849
25,6,1615.7771745904888
25,7,6995.920412743482
25,8,1539.032441330495
25,9,6910.732115468405
25,10,1924.5067784929015
25,11,2251.264329573117
25,12,2033.2233759571777
25,13,2245.9503001887283
25,14,2212.422227003359
25,15,2497.4366161918347
25,16,2251.2581359618885
15,0,6485.160699532732
15,1,6547.83294867275
15,2,6755.086083209966
15,3,6931.954808296603
15,4,9476.94176984236
15,5,1409.3740429873103
15,6,1131.9302056573765
15,7,1474.4925673436883
15,8,1047.7758429204623
15,9,6359.137838593559
15,10,1505.5944791844963
15,11,1878.0318456840382
15,12,1773.321337183832
15,13,1916.480118817246
15,14,1820.7016747599348
15,15,2184.0220139373273
15,16,1931.9226758830653
4,0,7480.637224409349
4,1,7405.108286825038
4,2,7447.733025753028
4,3,2644.6401023570675
4,4,2493.07305143028
4,5,2282.7373951288255
4,6,1928.2173564734674
4,7,2427.7227988207555
4,8,1905.672487810064
4,9,2195.688596365046
4,10,1860.2055492734332
4,11,2279.044585088722
4,12,2011.6524077197091
4,13,2219.5384128943256
4,14,1672.482927118531
4,15,2682.0900815775844
4,16,2231.9016008423832
28,0,11920.38402810046
28,1,12010.556807576837
28,2,12300.407989160938
28,3,7727.972737409532
28,4,10240.448601390064
28,5,2117.6403220720035
28,6,1859.9182349150228
28,7,7006.138704257757
28,8,1553.033302146621
28,9,7201.877141165757
28,10,2056.3672899870653
28,11,2537.863912320616
28,12,2259.009470482392
28,13,2306.811172351766
28,14,2306.5680302302912
28,15,2784.714666620124
28,16,2501.3842081025277
10,0,6764.702062593743
10,1,6757.074332251269
10,2,6807.651632130738
10,3,1617.41018317147
10,4,7107.192447930041
10,5,513.5379220289005
10,6,996.0129492583033
10,7,1469.8385024907134
10,8,1400.4745447358432
10,9,778.1257887836437
10,10,484.19831775803164
10,11,693.9956587659518
10,12,528.1371765539884
10,13,866.5553764349461
10,14,850.2284087233758
10,15,1278.3903497000185
10,16,1365.4332127249645
1,0,7915.379958567097
1,1,7824.209450181225
1,2,8082.826135925118
1,3,3134.5681579493676
1,4,2890.047036228767
1,5,2705.040559500287
1,6,2282.6048491456277
1,7,2713.1759954928
1,8,2150.9797813195864
1,9,2608.275587655051
1,10,2166.9958354032665
1,11,2621.4916706065997
1,12,2286.5084109622203
1,13,2453.4752732961383
1,14,2020.972326094806
1,15,2883.055126605783
1,16,2724.648846386085
6,0,7207.775549433263
6,1,7137.973297222145
6,2,7149.1815584921405
6,3,7277.11456563578
6,4,1912.2321746118969
6,5,2088.303232258906
6,6,1868.5733432563695
6,7,2464.5733277070126
6,8,1999.9123235179627
6,9,2014.244697073734
6,10,1858.230372100948
6,11,2188.8602361405365
6,12,1979.7311713129561
6,13,2326.0602654024806
6,14,1684.2658594607633
6,15,2539.5151204037056
6,16,1977.5427755142302
34,0,12399.192657714257
34,1,12345.756433320399
34,2,12672.709933225651
34,3,12550.176565017575
34,4,2751.408787351605
34,5,2874.425540595651
34,6,2766.320646191984
34,7,7973.24740552444
34,8,2751.464054452091
34,9,7405.274272072682
34,10,2309.7195277256023
34,11,2913.7421716190324
34,12,2522.8698830372796
34,13,2901.980070129861
34,14,3111.0004034594012
34,15,3210.7610789966266
34,16,3278.380984913376
41,0,712.7223857371293
41,1,755.0649632401888
41,2,1178.8063112949324
41,3,7777.473492459211
41,4,8016.017464846808
41,5,495.53755586730136
41,6,995.0883705652946
41,7,1407.3550238650002
41,8,1368.1845531519414
41,9,503.6732851098768
41,10,331.37537385892216
41,11,703.3724633433571
41,12,489.11354574362974
41,13,778.852884624272
41,14,707.5191769986261
41,15,1347.4037961952345
41,16,1332.940441039961
22,0,6591.114038173213
22,1,6688.708640170527
22,2,11832.871794446855
22,3,7008.341469286827
22,4,9536.666954527785
22,5,1572.930327781856
22,6,1278.1213115034766
22,7,1508.395638211269
22,8,1101.3433153052545
22,9,6581.429111309651
22,10,1706.2404040554147
22,11,2123.573466488775
22,12,1971.429795921833
22,13,2116.704693896068
22,14,2055.395408504026
22,15,2431.1275875751053
22,16,2123.6487737898115
45,0,710.0351839188891
45,1,7590.348286702778
45,2,1253.2134971379053
45,3,7772.429733099864
45,4,8487.980577177612
45,5,445.21137998814726
45,6,974.1112451582967
45,7,1242.505512756172
45,8,1239.902442505133
45,9,473.97401021596
45,10,564.4321591034698
45,11,703.1599829952395
45,12,505.167066208827
45,13,681.4483400009447
45,14,549.040540701671
45,15,1364.7487368503043
45,16,1004.380746550109
37,0,4705.1073503918105
37,1,4606.344814629258
37,2,4779.156359417264
37,3,18265.377651598137
37,4,2463.527942779197
37,5,2542.1708902047117
37,6,2411.695501768323
37,7,5257.023970375811
37,8,2576.320694189534
37,9,4605.458052368014
37,10,2423.1615911130275
37,11,2664.6191893537753
37,12,2415.956980765025
37,13,2500.6010984118434
37,14,2548.694183119737
37,15,3115.099765621077
37,16,3184.900045679433
21,0,6545.59744024579
21,1,6650.712023505989
21,2,11798.575851151763
21,3,7006.269480723568
21,4,9520.079152925151
21,5,1510.8561681422705
21,6,1202.529037223917
21,7,6716.356800259973
21,8,1073.1673414652869
21,9,6434.511943052508
21,10,1661.4478631911784
21,11,2095.304225569929
21,12,1913.975041662586
21,13,2087.194863436922
21,14,2001.1289238584113
21,15,2381.3739049900832
21,16,2089.8272881321845
13,0,11734.022149026048
13,1,11783.761187831002
13,2,11759.750090215784
13,3,1491.8557588305684
13,4,8405.718193093448
13,5,517.4775557151764
13,6,1079.4711635171222
13,7,1256.4889727168384
13,8,1448.7295058442678
13,9,595.3301356455753
13,10,195.13093246219742
13,11,654.3077746033591
13,12,534.9967449632912
13,13,678.9016556526151
13,14,1019.9601094753014
13,15,1263.3203192091776
13,16,1159.1693034088737
11,0,6694.618219845552
11,1,6692.417932675417
11,2,6812.709569996881
11,3,1615.3010347991933
11,4,7086.50569455793
11,5,523.2190774093095
11,6,1023.5201165680169
11,7,1478.8785026047128
11,8,1447.8776388577442
11,9,715.1096777304674
11,10,501.4089596701175
11,11,667.7366500813104
11,12,502.9484179991634
11,13,874.2683897026657
11,14,973.0662631747019
11,15,1294.084386016823
11,16,1394.017550179829
3,0,7628.544772088992
3,1,7525.905821352345
3,2,7675.516629171579
3,3,2843.629600052982
3,4,2713.8252695093934
3,5,2409.6926212323087
3,6,1985.2872366349538
3,7,2437.875532517518
3,8,1902.5212609984158
3,9,2294.9795370857137
3,10,1950.8249523187908
3,11,2362.7762043308703
3,12,2052.212736510745
3,13,2287.3666362654917
3,14,1798.893128834209
3,15,2681.8523251156053
3,16,2347.3070291939925
27,0,11829.551441781143
27,1,11916.175030975284
27,2,12238.62144377375
27,3,7698.065651266988
27,4,10159.122291387179
27,5,1972.4017159056598
27,6,1737.6208476761637
27,7,6987.398234087032
27,8,1516.3343821927267
27,9,7079.857789765622
27,10,1996.6377262945193
27,11,2410.1351461941244
27,12,2166.2744634956407
27,13,2261.4794933496505
27,14,2248.0538898088325
27,15,2658.3825714318177
27,16,2338.443274695363
31,0,12185.454332949113
31,1,12232.073995299577
31,2,12473.76659460833
31,3,7718.993018673194
31,4,10291.722175677558
31,5,2477.566428056821
31,6,2399.1031382236565
31,7,7493.234195795048
31,8,2125.827764297681
31,9,7483.6008581994665
31,10,2238.1527362842744
31,11,2767.725689565478
31,12,2366.002583660757
31,13,2491.1671493688173
31,14,2658.693867915209
31,15,3013.6745624496943
31,16,2862.8868790292922
16,0,6466.601118843676
16,1,6540.706221791071
16,2,6762.062065726375
16,3,6927.505192571406
16,4,9464.309287531343
16,5,1387.9126464253845
16,6,1126.739310268302
16,7,1479.7938618161968
16,8,1043.6334496978586
16,9,6311.365312835391
16,10,1481.7897233245653
16,11,1898.3591527949677
16,12,1798.0965411194168
16,13,1934.8154322981668
16,14,1848.027733424637
16,15,2211.1668963579523
16,16,1960.862208463996
8,0,720.6164176730499
8,1,736.98320158105
8,2,6945.415622607517
8,3,1618.1326350210275
8,4,7116.2231249573815
8,5,533.2328550067255
8,6,1037.5073223175846
8,7,1310.1809798326929
8,8,1429.9078662889945
8,9,703.1961048719555
8,10,830.94649784171
8,11,679.0284948141638
8,12,507.02792356500726
8,13,845.9682188925228
8,14,738.8991405817455
8,15,1261.919522452816
8,16,1288.5070286823766
47,0,730.9647225088598
47,1,783.565969070082
47,2,1243.6880655318166
47,3,7758.956710271604
47,4,8485.110756178841
47,5,473.1837154373041
47,6,955.4200098756172
47,7,7295.066718041137
47,8,1212.1556789993285
47,9,6563.805415826578
47,10,530.4204330076743
47,11,693.558560911932
47,12,478.3871326865528
47,13,650.778335792158
47,14,462.2473115553923
47,15,1276.8945176380703
47,16,1004.6990439373187
35,0,12420.757917542262
35,1,12360.819579447623
35,2,12632.069439553265
35,3,12585.98180830117
35,4,2777.2814583833265
35,5,2887.5865483011844
35,6,2780.6732307555303
35,7,7917.257525915536
35,8,2756.40637539728
35,9,7342.389592526095
35,10,2372.0326786802084
35,11,2925.6734760108207
35,12,2582.307778275391
35,13,2884.0147501574515
35,14,3118.6178877603993
35,15,3243.180229948658
35,16,3336.040196557959
43,0,1044.0543062646495
43,1,23467.86569071571
43,2,11808.409622109735
43,3,24121.248641729577
43,4,16846.166847926677
43,5,725.2285933689494
43,6,1214.8026720426876
43,7,1367.3443259987805
43,8,1408.753864914909
43,9,286.50210158861654
43,10,336.6763137140841
43,11,576.6061505535151
43,12,457.6470877259301
43,13,640.2526967291798
43,14,417.8608182661618
43,15,1311.6935998576398
43,16,1006.5675456273264
26,0,7776.262520482247
26,1,6932.383193708737
26,2,8039.29454685274
26,3,7527.413196058246
26,4,8233.614656413236
26,5,469.49887344027155
26,6,1010.8498050678877
26,7,1059.4854354617523
26,8,1150.3095479373937
26,9,449.2057560440674
26,10,564.2813839939803
26,11,666.2926389459487
26,12,466.07624780458184
26,13,762.084929907647
26,14,370.18659073611445
26,15,1264.3936809471452
26,16,1103.7207936673965
18,0,6463.7493775246685
18,1,6546.840791572356
18,2,6780.958086487836
18,3,6956.426837149098
18,4,9467.871355169798
18,5,1397.519341089931
18,6,1139.905002712836
18,7,1497.54367746808
18,8,1028.6479117154843
18,9,6251.9828006626685
18,10,1498.2735012921573
18,11,1971.0768726205854
18,12,1827.6329959042541
18,13,1977.306448436918
18,14,1868.8773401643814
18,15,2266.3521595887673
18,16,1989.9964899967626
17,0,6457.676666312863
17,1,6542.432849734171
17,2,6765.013522621971
17,3,6954.644918136552
17,4,9465.910032702772
17,5,1387.289818976552
17,6,1138.1179182895512
17,7,1486.2577153728228
17,8,1049.3428820597394
17,9,6302.39976236313
17,10,1479.7230375774197
17,11,1934.6432153371297
17,12,1806.9737100218842
17,13,1947.9038582208573
17,14,1860.0568296452384
17,15,2241.5538121680506
17,16,1952.9146937034704
24,0,681.4432888065446
24,1,6773.401917792236
24,2,8025.7876910892755
24,3,7051.771002866168
24,4,8184.472389771744
24,5,483.020812422414
24,6,988.1955997295627
24,7,1156.9431750202639
24,8,1230.7759294654834
24,9,6774.35946683551
24,10,596.0658320793825
24,11,681.5825125740814
24,12,502.25379943831973
24,13,697.3176046417475
24,14,537.9655536006892
24,15,1302.8736327561471
24,16,1066.3153831164627
29,0,7671.355653122692
29,1,12121.28743997385
29,2,7988.407909965018
29,3,7725.090614660471
29,4,8315.59791660568
29,5,524.7780129279749
29,6,1081.6526902512815
29,7,1141.8666276248555
29,8,1362.2343279080364
29,9,308.5076118002274
29,10,458.90710690556966
29,11,631.0321654549501
29,12,446.2212680414699
29,13,595.2823245148137
29,14,475.447345205629
29,15,1333.1536001490088
29,16,1061.6625995154086
36,0,12463.421162748436
36,1,12379.434204828154
36,2,12600.608997391333
36,3,12639.062365315809
36,4,2742.426637678252
36,5,2976.106923579849
36,6,2764.716308639702
36,7,7972.895376277443
36,8,2779.4152136110465
36,9,7361.442442536721
36,10,2442.574838588945
36,11,2996.4614399787615
36,12,2654.6750658127726
36,13,2905.9210345931456
36,14,3025.594846979725
36,15,3386.4667021890873
36,16,3408.046556904193
44,0,737.0816880257049
44,1,7615.576100020594
44,2,1221.9251288606417
44,3,7743.728775422991
44,4,8412.630185751763
44,5,488.73394929313775
44,6,966.4427230655245
44,7,1225.4651249072786
44,8,1223.8640047538013
44,9,514.4522257253539
44,10,574.0179034257678
44,11,712.628252250223
44,12,518.3190657989502
44,13,737.8229714800126
44,14,492.40620937147577
44,15,1293.654844826373
44,16,1026.2762110776277
12,0,6640.721105666291
12,1,6671.126086394113
12,2,6759.6776343013535
12,3,1536.8521405714048
12,4,8514.028223144413
12,5,508.4823931791385
12,6,991.1239405071037
12,7,1458.9324070284015
12,8,1429.102729044245
12,9,701.7108624982596
12,10,486.3944957628253
12,11,672.604660830336
12,12,516.4741194644952
12,13,843.0571830420757
12,14,1047.194444196684
12,15,1283.6153804257158
12,16,1394.209486308908
7,0,695.8055087850162
7,1,722.318561663026
7,2,7096.100172761363
7,3,1600.1135088595618
7,4,7495.947088025589
7,5,501.6241514477385
7,6,966.5796875578917
7,7,1291.6368985113047
7,8,1306.5378490440394
7,9,659.5456469517763
7,10,669.6837647977974
7,11,665.4409584637156
7,12,509.8693980937173
7,13,834.1703863851709
7,14,667.2482151606401
7,15,1257.949837882954
7,16,1234.4957028051126
20,0,6507.6646152463445
20,1,6614.017421844989
20,2,11799.175386689793
20,3,6975.98413056747
20,4,9490.514151954227
20,5,1441.2396648504675
20,6,1168.0846580168713
20,7,6674.593767410827
20,8,1059.4550021502494
20,9,6385.236960269799
20,10,1587.9222384432942
20,11,2036.0466775502593
20,12,1877.597154927029
20,13,2033.2830224714328
20,14,1963.7703770190908
20,15,2348.46765069216
20,16,2065.4721242880155
42,0,715.142931963428
42,1,7667.406290336823
42,2,1202.0656191155215
42,3,7773.547292165477
42,4,8076.71591174396
42,5,475.77184092143494
42,6,1013.8252423245093
42,7,1277.38421651847
42,8,1290.6116172955883
42,9,481.4030293417801
42,10,463.62127707004413
42,11,717.8597122120408
42,12,500.62806401232274
42,13,683.3938053883167
42,14,361.21975577003826
42,15,1326.442095353948
42,16,1110.9181808730218
40,0,706.7533274395827
40,1,762.2356474077329
40,2,1205.7364106990271
40,3,7830.350356533686
40,4,8015.628958595235
40,5,520.9095106790703
40,6,1029.9097885738333
40,7,1475.3106422348844
40,8,1435.6288602170114
40,9,585.7078923617221
40,10,343.49882451309634
40,11,678.6709815108117
40,12,492.2584000281045
40,13,891.0745810194427
40,14,968.2565910666658
40,15,1351.7538934808915
40,16,1493.3393256670242
46,0,1021.5487261455228
46,1,1078.0963547648398
46,2,1578.9866354904234
46,3,5433.128062765486
46,4,5764.059979217412
46,5,747.3110795340659
46,6,1219.158658245413
46,7,1391.0372756647787
46,8,1385.1053049314528
46,9,189.398197446976
46,10,360.7566892650726
46,11,545.501227227531
46,12,402.5030929475679
46,13,668.9602856139115
46,14,417.1842392611454
46,15,1320.197222948243
46,16,1073.4711913015324
33,0,12341.76410731609
33,1,12314.211429582165
33,2,12624.108737452145
33,3,12564.2843503482
33,4,2752.3640927165584
33,5,2759.478989441276
33,6,2685.1452028815106
33,7,7979.173802506182
33,8,2726.10411946709
33,9,12340.850733058944
33,10,2272.039091555016
33,11,2854.161830948963
33,12,2472.533359325207
33,13,2845.835486288897
33,14,2963.720660766389
33,15,3145.081506794204
33,16,3144.210680507077
48,0,747.0604568294854
48,1,800.4677590290505
48,2,1249.5335419253713
48,3,7722.038665354521
48,4,8487.643361588103
48,5,507.5829704381683
48,6,955.3390677298175
48,7,1262.537409332399
48,8,1256.3463864581652
48,9,508.78235523652023
48,10,428.19225611685454
48,11,698.5950146374615
48,12,472.58385963370563
48,13,703.8512892625687
48,14,454.669695061808
48,15,1249.1388608909588
48,16,1042.9441905368747
14,0,6499.840968428284
14,1,6575.640195278714
14,2,11780.88625281975
14,3,6964.165408093568
14,4,9502.775364996094
14,5,1434.2679074383927
14,6,1142.5624825254772
14,7,1486.9941627088645
14,8,1076.8236421466502
14,9,1589.4608539987562
14,10,1498.540128211139
14,11,1878.7505093909938
14,12,1747.7155937678453
14,13,1876.4237395887055
14,14,1743.6290501437338
14,15,2173.7574888672834
14,16,1872.2094505088269
39,0,7758.786852312894
39,1,12552.580134410147
39,2,7775.038630549658
39,3,12775.348344833192
39,4,2892.779844877984
39,5,3088.018337062674
39,6,2856.808994878721
39,7,3210.8215243890327
39,8,2789.6468713192007
39,9,7556.997677885502
39,10,2507.5438193246896
39,11,3082.7292009666767
39,12,2793.8075677719767
39,13,2716.699025977787
39,14,2769.8909237262465
39,15,3355.9904019040737
39,16,3482.676335217335
9,0,6866.978693866166
9,1,6864.267109584536
9,2,6854.320274758778
9,3,7128.611034351502
9,4,1941.3293257368093
9,5,1843.3483541895741
9,6,1453.448855154215
9,7,1966.84115814651
9,8,1584.0378648646854
9,9,1821.5382548713856
9,10,1686.4680366210614
9,11,2033.1809140215296
9,12,1849.5783158206993
9,13,2180.4733109727154
9,14,1731.5300378243833
9,15,2299.0822805531557
9,16,1927.7019056196955
2,0,7746.7895515723585
2,1,7664.948438919625
2,2,7932.905001796609
2,3,10448.069988594361
2,4,2870.242019987192
2,5,2534.7251535383207
2,6,2137.0119046294108
2,7,2499.158186063518
2,8,1883.917969275717
2,9,2419.0220340566084
2,10,2064.965884077417
2,11,2506.9539474733697
2,12,2194.8942288243306
2,13,2347.158442451044
2,14,1893.5147903423979
2,15,2801.5971769258545
2,16,2561.9119253143904
5,0,7353.619250033002
5,1,7259.872421922467
5,2,7246.537357170315
5,3,7567.876701419767
5,4,2195.001246667122
5,5,2219.390189637617
5,6,1925.3030896009973
5,7,2448.9983285476346
5,8,1962.599202937038
5,9,2086.78718052424
5,10,1840.7980841944343
5,11,2225.3375600858067
5,12,1968.2863713021213
5,13,2158.706087924156
5,14,1500.4880968224
5,15,2664.7237829866217
5,16,2137.637804470549
38,0,7673.398090136739
38,1,12506.794465940304
38,2,7711.2098427991
38,3,12717.97367635105
38,4,2828.150731543248
38,5,3051.9358586020326
38,6,2836.112349975858
38,7,8052.835506608432
38,8,2744.393904238143
38,9,7414.403012154385
38,10,2502.7353093591882
38,11,3060.511870346136
38,12,2781.330093606381
38,13,2786.2574032748553
38,14,2860.8485048212488
38,15,3436.85647170829
38,16,3493.7648235584343

STATISTIC,VALUE_mm
mean_mpjpe,3548.74
median_mpjpe,2092.57
min_mpjpe,189.40
max_mpjpe,24121.25
total_joint_pairs,816
total_frames,48

JOINT_INDEX,MEAN_ERROR_mm,NUM_MEASUREMENTS
0,6358.99,48
1,7802.39,48
2,7898.78,48
3,7622.67,48
4,7078.83,48
5,1472.06,48
6,1539.80,48
7,3385.03,48
8,1622.14,48
9,3762.97,48
10,1339.92,48
11,1680.82,48
12,1462.84,48
13,1668.53,48
14,1556.44,48
15,2125.40,48
16,1951.02,48
